unix_timestamp_ms,bid,ask,mid
1764326114550,1.1138,1.1139,1.113850
1764326114801,1.1138,1.1139,1.113850
1764326115053,1.1138,1.1139,1.113850
1764326115303,1.1138,1.1139,1.113850
1764326115553,1.1138,1.1139,1.113850
1764326115845,1.1138,1.1139,1.113850
1764326116101,1.1139,1.114,1.113950
1764326116385,1.1141,1.1142,1.114150
1764326116636,1.1141,1.1142,1.114150
1764326116886,1.1141,1.1142,1.114150
1764326117136,1.1141,1.1142,1.114150
1764326117393,1.1141,1.1142,1.114150
1764326117660,1.1141,1.1142,1.114150
1764326117911,1.1141,1.1142,1.114150
1764326118206,1.1141,1.1142,1.114150
1764326118502,1.1141,1.1142,1.114150
1764326118752,1.1142,1.1143,1.114250
1764326119039,1.1142,1.1143,1.114250
1764326119294,1.1142,1.1143,1.114250
1764326119574,1.1142,1.1143,1.114250
1764326119830,1.1142,1.1143,1.114250
1764326120106,1.1142,1.1143,1.114250
1764326120399,1.1142,1.1143,1.114250
1764326120658,1.1142,1.1143,1.114250
1764326120943,1.1141,1.1142,1.114150
1764326121226,1.1141,1.1142,1.114150
1764326121476,1.1141,1.1142,1.114150
1764326121766,1.1141,1.1142,1.114150
1764326122021,1.1141,1.1142,1.114150
1764326122316,1.1141,1.1142,1.114150
1764326122573,1.114,1.1141,1.114050
1764326122823,1.1139,1.114,1.113950
1764326123074,1.1139,1.114,1.113950
1764326123324,1.1139,1.114,1.113950
1764326123614,1.1139,1.114,1.113950
1764326123886,1.1139,1.114,1.113950
1764326124154,1.1139,1.114,1.113950
1764326124419,1.1136,1.1137,1.113650
1764326124679,1.1136,1.1137,1.113650
1764326124949,1.1136,1.1137,1.113650
1764326125247,1.1136,1.1137,1.113650
1764326125498,1.1134,1.1135,1.113450
1764326125749,1.1133,1.1134,1.113350
1764326126014,1.1133,1.1134,1.113350
1764326126268,1.1133,1.1134,1.113350
1764326126523,1.1133,1.1134,1.113350
1764326126773,1.1133,1.1134,1.113350
1764326127024,1.1133,1.1134,1.113350
1764326127326,1.1133,1.1134,1.113350
1764326127587,1.1133,1.1134,1.113350
1764326127838,1.1133,1.1134,1.113350
1764326128098,1.1133,1.1134,1.113350
1764326128349,1.1133,1.1134,1.113350
1764326128612,1.1133,1.1134,1.113350
1764326128878,1.1133,1.1134,1.113350
1764326129129,1.1133,1.1134,1.113350
1764326129379,1.1133,1.1134,1.113350
1764326129640,1.1133,1.1134,1.113350
1764326129914,1.1133,1.1134,1.113350
1764326130177,1.1133,1.1134,1.113350
1764326130427,1.1133,1.1134,1.113350
1764326130695,1.1133,1.1134,1.113350
1764326130961,1.1133,1.1134,1.113350
1764326131234,1.1133,1.1134,1.113350
1764326131486,1.1133,1.1134,1.113350
1764326131736,1.1133,1.1134,1.113350
1764326131995,1.1133,1.1134,1.113350
1764326132282,1.1133,1.1134,1.113350
1764326132532,1.1133,1.1134,1.113350
1764326132811,1.1132,1.1133,1.113250
1764326133061,1.113,1.1131,1.113050
1764326133311,1.113,1.1131,1.113050
1764326133588,1.113,1.1131,1.113050
1764326133844,1.113,1.1131,1.113050
1764326134109,1.113,1.1131,1.113050
1764326134359,1.113,1.1131,1.113050
1764326134609,1.1129,1.113,1.112950
1764326134859,1.1128,1.1129,1.112850
1764326135111,1.1128,1.1129,1.112850
1764326135387,1.1128,1.1129,1.112850
1764326135647,1.1128,1.1129,1.112850
1764326135901,1.1128,1.1129,1.112850
1764326136152,1.1128,1.1129,1.112850
1764326136402,1.1128,1.1129,1.112850
1764326136671,1.1128,1.1129,1.112850
1764326136951,1.1128,1.1129,1.112850
1764326137223,1.1128,1.1129,1.112850
1764326137492,1.1128,1.1129,1.112850
1764326137757,1.1128,1.1129,1.112850
1764326138013,1.1128,1.1129,1.112850
1764326138279,1.1128,1.1129,1.112850
1764326138552,1.1128,1.1129,1.112850
1764326138802,1.1128,1.1129,1.112850
1764326139089,1.1128,1.1129,1.112850
1764326139381,1.1128,1.1129,1.112850
1764326139631,1.1128,1.1129,1.112850
1764326139889,1.1128,1.1129,1.112850
1764326140166,1.1128,1.1129,1.112850
1764326140418,1.1128,1.1129,1.112850
1764326140681,1.1128,1.1129,1.112850
1764326140933,1.1128,1.1129,1.112850
1764326141185,1.1128,1.1129,1.112850
1764326141449,1.1128,1.1129,1.112850
1764326141702,1.1128,1.1129,1.112850
1764326141995,1.1128,1.1129,1.112850
1764326142283,1.1128,1.1129,1.112850
1764326142569,1.1128,1.1129,1.112850
1764326142819,1.1128,1.1129,1.112850
1764326143107,1.1128,1.1129,1.112850
1764326143357,1.1128,1.1129,1.112850
1764326143614,1.1128,1.1129,1.112850
1764326143885,1.1128,1.1129,1.112850
1764326144136,1.1128,1.1129,1.112850
1764326144388,1.1128,1.1129,1.112850
1764326144655,1.1128,1.1129,1.112850
1764326144932,1.1128,1.1129,1.112850
1764326145182,1.1128,1.1129,1.112850
1764326145463,1.1128,1.1129,1.112850
1764326145721,1.1128,1.1129,1.112850
1764326145972,1.1128,1.1129,1.112850
1764326146231,1.1128,1.1129,1.112850
1764326146483,1.1127,1.1128,1.112750
1764326146754,1.1127,1.1128,1.112750
1764326147012,1.1127,1.1128,1.112750
1764326147304,1.1127,1.1128,1.112750
1764326147555,1.1127,1.1128,1.112750
1764326147806,1.1127,1.1128,1.112750
1764326148056,1.1128,1.1129,1.112850
1764326148308,1.1128,1.1129,1.112850
1764326148576,1.1128,1.1129,1.112850
1764326148827,1.1128,1.1129,1.112850
1764326149087,1.1128,1.1129,1.112850
1764326149355,1.1128,1.1129,1.112850
1764326149648,1.1128,1.1129,1.112850
1764326149921,1.1128,1.1129,1.112850
1764326150177,1.1128,1.1129,1.112850
1764326150430,1.1128,1.1129,1.112850
1764326150722,1.1128,1.1129,1.112850
1764326151014,1.1128,1.1129,1.112850
1764326151264,1.1128,1.1129,1.112850
1764326151536,1.113,1.1131,1.113050
1764326151806,1.113,1.1131,1.113050
1764326152056,1.113,1.1131,1.113050
1764326152320,1.113,1.1131,1.113050
1764326152598,1.113,1.1131,1.113050
1764326152850,1.113,1.1131,1.113050
1764326153102,1.113,1.1131,1.113050
1764326153355,1.113,1.1131,1.113050
1764326153641,1.113,1.1131,1.113050
1764326153907,1.113,1.1131,1.113050
1764326154158,1.113,1.1131,1.113050
1764326154458,1.1126,1.1127,1.112650
1764326154708,1.1126,1.1127,1.112650
1764326154967,1.1126,1.1127,1.112650
1764326155230,1.1125,1.1126,1.112550
1764326155480,1.112,1.1121,1.112050
1764326155734,1.112,1.1121,1.112050
1764326156003,1.112,1.1121,1.112050
1764326156265,1.112,1.1121,1.112050
1764326156527,1.112,1.1121,1.112050
1764326156784,1.112,1.1121,1.112050
1764326157039,1.112,1.1121,1.112050
1764326157313,1.112,1.1121,1.112050
1764326157574,1.112,1.1121,1.112050
1764326157852,1.112,1.1121,1.112050
1764326158103,1.112,1.1121,1.112050
1764326158354,1.112,1.1121,1.112050
1764326158614,1.112,1.1121,1.112050
1764326158882,1.112,1.1121,1.112050
1764326159150,1.112,1.1121,1.112050
1764326159424,1.112,1.1121,1.112050
1764326159676,1.112,1.1121,1.112050
1764326159938,1.112,1.1121,1.112050
1764326160188,1.1118,1.1119,1.111850
1764326160452,1.1119,1.112,1.111950
1764326160726,1.1118,1.1119,1.111850
1764326160979,1.1118,1.1119,1.111850
1764326161231,1.1118,1.1119,1.111850
1764326161481,1.1118,1.1119,1.111850
1764326161748,1.1118,1.1119,1.111850
1764326162033,1.1118,1.1119,1.111850
1764326162297,1.1118,1.1119,1.111850
1764326162552,1.1118,1.1119,1.111850
1764326162802,1.1118,1.1119,1.111850
1764326163061,1.1118,1.1119,1.111850
1764326163314,1.1118,1.1119,1.111850
1764326163575,1.1118,1.1119,1.111850
1764326163826,1.1118,1.1119,1.111850
1764326164095,1.1118,1.1119,1.111850
1764326164357,1.1118,1.1119,1.111850
1764326164608,1.1118,1.1119,1.111850
1764326164865,1.1118,1.1119,1.111850
1764326165115,1.1118,1.1119,1.111850
1764326165379,1.1118,1.1119,1.111850
1764326165645,1.112,1.1121,1.112050
1764326165896,1.112,1.1121,1.112050
1764326166150,1.1121,1.1122,1.112150
1764326166403,1.1121,1.1122,1.112150
1764326166653,1.1121,1.1122,1.112150
1764326166929,1.1121,1.1122,1.112150
1764326167201,1.1121,1.1122,1.112150
1764326167452,1.1121,1.1122,1.112150
1764326167741,1.1121,1.1122,1.112150
1764326168009,1.1121,1.1122,1.112150
1764326168263,1.1121,1.1122,1.112150
1764326168525,1.1121,1.1122,1.112150
1764326168776,1.1121,1.1122,1.112150
1764326169051,1.1121,1.1122,1.112150
1764326169303,1.1121,1.1122,1.112150
1764326169553,1.1121,1.1122,1.112150
1764326169823,1.1121,1.1122,1.112150
1764326170078,1.1121,1.1122,1.112150
1764326170331,1.1121,1.1122,1.112150
1764326170583,1.1121,1.1122,1.112150
1764326170839,1.1121,1.1122,1.112150
1764326171089,1.1121,1.1122,1.112150
1764326171339,1.1121,1.1122,1.112150
1764326171597,1.1121,1.1122,1.112150
1764326171856,1.1121,1.1122,1.112150
1764326172123,1.1121,1.1122,1.112150
1764326172390,1.1121,1.1122,1.112150
1764326172659,1.1121,1.1122,1.112150
1764326172914,1.1121,1.1122,1.112150
1764326173172,1.1121,1.1122,1.112150
1764326173448,1.1121,1.1122,1.112150
1764326173721,1.1121,1.1122,1.112150
1764326173985,1.1121,1.1122,1.112150
1764326174237,1.1121,1.1122,1.112150
1764326174488,1.1121,1.1122,1.112150
1764326174757,1.1121,1.1122,1.112150
1764326175022,1.1121,1.1122,1.112150
1764326175320,1.1121,1.1122,1.112150
1764326175604,1.1121,1.1122,1.112150
1764326175866,1.1121,1.1122,1.112150
1764326176123,1.1121,1.1122,1.112150
1764326176381,1.1121,1.1122,1.112150
1764326176642,1.1121,1.1122,1.112150
1764326176893,1.1121,1.1122,1.112150
1764326177148,1.1125,1.1126,1.112550
1764326177408,1.1125,1.1126,1.112550
1764326177660,1.1126,1.1127,1.112650
1764326177911,1.1126,1.1127,1.112650
1764326178161,1.1126,1.1127,1.112650
1764326178438,1.1126,1.1127,1.112650
1764326178691,1.1126,1.1127,1.112650
1764326178961,1.1126,1.1127,1.112650
1764326179211,1.1126,1.1127,1.112650
1764326179461,1.1126,1.1127,1.112650
1764326179722,1.1126,1.1127,1.112650
1764326179972,1.1126,1.1127,1.112650
1764326180244,1.1127,1.1128,1.112750
1764326180502,1.1127,1.1128,1.112750
1764326180785,1.1127,1.1128,1.112750
1764326181037,1.1127,1.1128,1.112750
1764326181287,1.1127,1.1128,1.112750
1764326181566,1.1127,1.1128,1.112750
1764326181818,1.1127,1.1128,1.112750
1764326182089,1.1127,1.1128,1.112750
1764326182351,1.1127,1.1128,1.112750
1764326182614,1.1127,1.1128,1.112750
1764326182867,1.1127,1.1128,1.112750
1764326183157,1.1127,1.1128,1.112750
1764326183410,1.1127,1.1128,1.112750
1764326183679,1.1127,1.1128,1.112750
1764326183947,1.1128,1.1129,1.112850
1764326184208,1.1128,1.1129,1.112850
1764326184465,1.1129,1.113,1.112950
1764326184717,1.1129,1.113,1.112950
1764326184975,1.1129,1.113,1.112950
1764326185255,1.1129,1.113,1.112950
1764326185510,1.1129,1.113,1.112950
1764326185793,1.1129,1.113,1.112950
1764326186047,1.1129,1.113,1.112950
1764326186297,1.1129,1.113,1.112950
1764326186579,1.1129,1.113,1.112950
1764326186886,1.1129,1.113,1.112950
1764326187136,1.1129,1.113,1.112950
1764326187387,1.1129,1.113,1.112950
1764326187678,1.1129,1.113,1.112950
1764326187928,1.1129,1.113,1.112950
1764326188231,1.1129,1.113,1.112950
1764326188482,1.1142,1.1143,1.114250
1764326188733,1.1142,1.1143,1.114250
1764326188999,1.1142,1.1143,1.114250
1764326189249,1.1142,1.1143,1.114250
1764326189510,1.1142,1.1143,1.114250
1764326189785,1.1142,1.1143,1.114250
1764326190055,1.1142,1.1143,1.114250
1764326190321,1.1142,1.1143,1.114250
1764326190588,1.1142,1.1143,1.114250
1764326190852,1.1142,1.1143,1.114250
